,time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG
0,0.123291015625,-5172.60009765625,-5908.32275390625,-9828.900390625,2596.1240234375,6501.43212890625,1165.9931640625,9049.0283203125,-6828.95263671875,-15317.787109375,9817.7998046875,4858.4287109375,3840.322998046875,-4297.61279296875,-7138.74853515625,-9673.3525390625,-7676.8955078125,-6.0,-17.700000762939453,1099.454345703125,9825.2998046875,-17.700000762939453,9836.69921875,-9506.2177734375,-8097.51220703125,0.0
0,0.126708984375,-4870.2001953125,-5874.71337890625,-6248.9462890625,-7753.609375,-7698.82763671875,-6252.02783203125,9809.1005859375,-6135.7001953125,-6333.31591796875,5951.14453125,-3555.539794921875,1048.6158447265625,4976.388671875,1932.07421875,-2810.18115234375,-3085.11865234375,-5.699999809265137,-17.399999618530273,-9816.6005859375,-2774.244873046875,-17.100000381469727,-409.1745300292969,-572.8331909179688,150.69737243652344,0.0
0,0.1298828125,-693.0,-1174.222412109375,8213.646484375,-9819.900390625,-9823.80078125,-5285.51611328125,9440.2900390625,1243.4237060546875,5081.38134765625,-9294.6552734375,-9814.5,-7065.1015625,4264.9189453125,6600.77880859375,7476.93408203125,5122.63671875,-5.699999809265137,-16.799999237060547,-9816.6005859375,-9825.6005859375,-16.799999237060547,-9837.0,9806.7001953125,8353.068359375,0.0
0,0.13330078125,2005.199951171875,2457.074462890625,8237.3427734375,-1775.3017578125,-3060.044189453125,2712.651611328125,9809.1005859375,4702.201171875,1472.8641357421875,-9818.1005859375,-4766.17822265625,-5174.65234375,-5375.015625,-1285.8504638671875,3546.81591796875,3531.55810546875,-5.400000095367432,-17.399999618530273,-1286.092041015625,-5283.119140625,-17.100000381469727,-8316.7802734375,4537.47314453125,1874.5794677734375,0.0
0,0.13671875,-587.0999755859375,-220.26048278808594,-5910.29833984375,8930.1513671875,9823.5,6630.29296875,9678.2802734375,-721.6886596679688,-11709.2705078125,3343.81103515625,8040.1748046875,3893.744140625,-9828.6005859375,-9442.6640625,-7731.96875,-5109.71826171875,-6.0,-17.399999618530273,9816.2998046875,9564.7275390625,-17.399999618530273,7090.15673828125,-8922.01171875,-8788.982421875,0.0
0,0.139892578125,-4282.5,-4865.23583984375,-9828.900390625,3460.100341796875,7025.47998046875,960.8120727539062,9809.1005859375,-6222.50634765625,-14286.7822265625,9817.7998046875,5600.02783203125,4210.9697265625,-3605.6396484375,-6461.0380859375,-9251.390625,-6943.544921875,-5.400000095367432,-17.100000381469727,442.7775573730469,9825.2998046875,-17.100000381469727,9836.69921875,-9488.859375,-7682.2705078125,0.0
0,0.143310546875,-3632.10009765625,-4606.564453125,-4930.6474609375,-6550.09619140625,-6958.025390625,-6136.5380859375,9809.1005859375,-5157.185546875,-5228.66796875,5908.29833984375,-2633.63330078125,1329.827392578125,6249.95556640625,3144.4560546875,-1314.734375,-2127.346923828125,-6.300000190734863,-17.700000762939453,-9816.6005859375,-2580.83935546875,-17.399999618530273,-409.1745300292969,247.50942993164062,1191.4979248046875,0.0
0,0.146728515625,84.5999984741211,-365.8004455566406,8579.890625,-9819.900390625,-9823.80078125,-5362.60888671875,9627.98828125,1845.9783935546875,6038.7431640625,-9303.3447265625,-9814.5,-6445.05615234375,5195.6484375,7465.9091796875,8262.1181640625,5640.27880859375,-5.400000095367432,-17.399999618530273,-9816.6005859375,-9825.6005859375,-17.700000762939453,-9837.0,9806.7001953125,9004.09375,0.0
0,0.14990234375,2759.699951171875,3375.927001953125,8783.859375,-745.3030395507812,-2506.915771484375,2797.5439453125,9809.1005859375,5369.7109375,2503.868896484375,-9818.1005859375,-4262.39453125,-5369.42919921875,-4611.0556640625,-511.5813293457031,4459.9677734375,4250.48779296875,-5.400000095367432,-17.399999618530273,-1467.9364013671875,-5215.35205078125,-17.100000381469727,-8314.6787109375,5023.21435546875,2598.40625,0.0
0,0.1533203125,318.0,701.2925415039062,-5137.61572265625,9819.599609375,9823.5,6794.97802734375,9027.4736328125,-17.660568237304688,-11046.4814453125,3322.53759765625,8877.6181640625,4251.48583984375,-9028.3466796875,-8967.3671875,-6949.18212890625,-4397.69873046875,-5.699999809265137,-17.700000762939453,9816.2998046875,9577.9208984375,-17.399999618530273,7087.75537109375,-8672.107421875,-8106.20068359375,0.0
